domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Anthropology,93.72034674882889,93.68636465072632,94.03948360681534
Books,92.77376711368561,92.93859887123108,92.90039304892223
Captions,89.00715926715306,89.09901097842625,88.85620461191449
Code,98.17006587982178,98.0447518825531,95.70924699306488
Commonsense,87.50260854244232,87.76076814651489,87.50673997402191
Computer Science,87.32577502727509,87.47991263866425,87.64281105995178
Debatepedia,85.49833953380585,85.25447368621826,85.88761973381042
Dialogue,89.02741129774796,88.97426358022187,88.86327099172692
Economics,87.3397924900055,87.08015871047974,87.13632297515869
English Exams,91.35366380214691,90.90802264213562,90.75887846946716
Fiction,93.24152081353324,93.14478831631797,93.20195943968636
Food,84.88829922676086,84.80455541610718,84.64326614141464
Formal logic,81.50054264068604,81.67901408672333,81.49772143363953
Government and Politics,90.43419177830219,90.3792349845171,90.29331821203232
History,93.14073179662228,93.02926033735275,93.14217048883438
Justice,93.72034674882889,93.68636465072632,94.03948360681534
Knowledge Base,89.01807343959808,89.70792412757874,89.74410831928253
Law,92.9475268125534,92.81022556622823,92.84306611617406
Linguistics,98.17006587982178,98.0447518825531,95.70924699306488
Miscellaneous,85.65303964912891,85.61683784425259,85.53923247754574
Movies,94.40131974220276,94.87303733825684,95.21018171310425
Narrative,87.21491108834743,87.30707736313343,87.15839612483978
Natural Science,88.5806670486927,88.82424753904343,89.04244312644005
News,89.14002339754786,88.66290744394064,88.60530335456133
Nutrition,87.97760093212128,88.1018648147583,87.8275740146637
Professions,93.46645879745483,95.3169196844101,94.38427734375
Public Places,88.65427958965302,88.88068886597951,88.84485034147899
Reviews,87.13692804177602,87.29680693149567,87.23572532335918
School Science Textbooks,93.72034674882889,93.68636465072632,94.03948360681534
Scientific Research Papers,86.4908150434494,86.46348431706429,86.67159840464592
Social Media,86.78437161445618,86.76055520772934,86.77652126550674
Story,88.28713147640228,88.27525227069854,88.47111105918884
Web,90.16895359754562,90.11701735854149,90.02591034770012
Wikipedia,88.84233462323043,88.86297291374558,88.82127200042345
