domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Fiction,93.24152081353324,93.14478831631797,93.20195943968636
Books,92.77376711368561,92.93859887123108,92.90039304892223
Economics,87.3397924900055,87.08015871047974,87.13632297515869
Law,92.9475268125534,92.81022556622823,92.84306611617406
Government and Politics,90.43419177830219,90.3792349845171,90.29331821203232
History,93.14073179662228,93.02926033735275,93.14217048883438
Computer Science,87.32577502727509,87.47991263866425,87.64281105995178
Natural Science,88.5806670486927,88.82424753904343,89.04244312644005
Nutrition,87.97760093212128,88.1018648147583,87.8275740146637
Food,84.88829922676086,84.80455541610718,84.64326614141464
Social Media,86.78437161445618,86.76055520772934,86.77652126550674
News,89.14002339754786,88.66290744394064,88.60530335456133
