reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Causal Reasoning,86.65739993751049,85.88957971334457,86.21052432060242
Analogical Reasoning,82.74859645631578,82.75254062811534,82.78253577815161
Commonsense Reasoning,86.85871717532476,86.32240767876307,86.71550917625427
Deductive Reasoning,91.13729810714722,91.10896420478821,90.91278088092804
Abductive Reasoning,86.66934567689896,87.51591831445694,87.64250081777573
Logical Reasoning,80.49293327331543,80.4120169878006,80.10853731632233
Multihop Reasoning,94.70580589771271,94.87018710374832,94.68008804321289
Cross-document Reasoning,94.70580589771271,94.87018710374832,94.68008804321289
Quantitative Reasoning,88.01101239522298,86.72491240501404,87.8946240345637
Temporal Reasoning,94.09732369581859,94.12223688761394,94.11914857228597
