domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Anthropology,91.88157975673676,91.86570382118225,91.86570382118225
Books,86.17980829874675,86.27685077985127,86.27685077985127
Captions,87.52373128277915,87.62656019415174,87.62656019415174
Code,86.76439440250397,87.07318770885468,87.07318770885468
Commonsense,80.49568132400513,80.25497739315033,80.25497739315033
Computer Science,66.06632709503174,65.55353724956512,65.55353724956512
Debatepedia,29.302493810653687,31.660653471946716,31.660653471946716
Dialogue,84.72422653122952,84.82120136210793,84.82120136210793
Economics,81.66360211372375,81.72856891155243,81.72856891155243
English Exams,86.46538424491882,87.36296236515045,87.36296236515045
Fiction,90.10857955047062,90.12236429963794,90.12236429963794
Food,91.03279542922974,90.93144685029984,90.93144685029984
Formal logic,81.12534594535828,81.32893586158752,81.32893586158752
Government and Politics,86.48420341312885,86.53565755486488,86.53565755486488
History,90.68234786391258,90.76624512672424,90.76624512672424
Justice,91.88157975673676,91.86570382118225,91.86570382118225
Knowledge Base,84.37656497955322,84.21761107444763,84.21761107444763
Law,89.1463142974036,88.95627989087787,88.95627989087787
Linguistics,86.76439440250397,87.07318770885468,87.07318770885468
Miscellaneous,85.86072669923306,86.03508795797825,86.03508795797825
Movies,94.68938934803009,94.90217912197113,94.90217912197113
Narrative,81.93318194150925,81.50506675243378,81.50506675243378
Natural Science,74.73901358246803,73.97951555252075,73.97951555252075
News,74.31864949299934,75.43077346809368,75.43077346809368
Nutrition,94.78740966320038,94.78740966320038,94.78740966320038
Professions,87.32180142402649,86.89956820011139,86.89956820011139
Public Places,74.34045640627544,75.29945639769237,75.29945639769237
Reviews,70.46552379926045,72.78907080491383,72.78907080491383
School Science Textbooks,91.88157975673676,91.86570382118225,91.86570382118225
Scientific Research Papers,81.2804763019085,81.18713694810867,81.18713694810867
Social Media,78.21081697940826,77.3653781414032,77.3653781414032
Sports,56.85953452036931,60.98570135923532,60.98570135923532
Statistics,56.85953452036931,60.98570135923532,60.98570135923532
Story,82.20537796020508,81.3101833820343,81.3101833820343
Web,83.52973526716232,83.77092179656029,83.77092179656029
Wikipedia,80.90014819665389,80.59745930541645,80.59745930541645
