,categories,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Answerability Classification,88.76482373934526,59.25343342927786,55.11407701544059,54.975996913835985,69.67818347307352,78.92271960428519,77.97855831855951,79.34269871822623,88.76482373934526,0_examples_with_definition
1,Cause Effect Classification,80.66096603870392,66.13009100300926,70.23768390927997,71.51880366461617,70.16272417136601,81.69370547362736,82.15779190404075,81.73819841657367,82.15779190404075,4_examples_without_definition
2,Coreference Resolution,75.2014114516122,58.06738666125706,60.7900606904711,60.500525168010164,69.3080815076828,57.77839119093759,54.816782483032775,54.160677262714934,75.2014114516122,0_examples_with_definition
3,Data to Text,78.97012162376457,81.02245059616665,81.69238419830799,82.00608000159264,70.88051047963155,79.10944335072,78.82086609303951,80.33729338645935,82.00608000159264,8_examples_with_definition
4,Dialogue Act Recognition,84.61405653612954,67.64581063815525,69.38419706480843,68.9974022252219,61.90376574652536,49.79335921151297,47.439468792506624,47.242568714278086,84.61405653612954,0_examples_with_definition
5,Grammar Error Correction,86.46538424491882,75.64679670333862,74.84578311443329,78.30098032951355,38.74471712112427,85.91273319721222,85.3783929347992,86.02521514892578,86.46538424491882,0_examples_with_definition
6,Keyword Tagging,75.1669604063034,73.10266251564026,71.2101413488388,71.64991772174835,70.93142113685607,72.29342994689941,72.97976024150849,72.80646140575409,75.1669604063034,0_examples_with_definition
7,Overlap Extraction,67.16064012050629,84.02186471223831,84.0343649983406,83.88541895151138,54.008464097976685,74.69023287296295,65.48196393251419,51.01841789484024,84.0343649983406,4_examples_with_definition
8,Question Rewriting,87.80727232586254,67.76184631477703,62.83469373529608,64.09944612329656,60.186853018673986,84.8788948059082,81.12478096918626,82.01416190104051,87.80727232586254,0_examples_with_definition
9,Textual Entailment,82.52188836038113,76.96994690597057,75.4978684335947,75.78488648931186,66.4558638681968,78.45769798755646,76.10433595379193,75.94258297483127,82.52188836038113,0_examples_with_definition
10,Title Generation,75.57378733158112,57.096773215702605,58.02774874267177,57.81367429604767,68.02133455622796,63.82464949062892,65.89054862424713,64.97542198340285,75.57378733158112,0_examples_with_definition
11,Word Analogy,83.35255013406277,81.56768271327019,81.65591806173325,81.59148952364922,50.256481394171715,80.77405595779419,80.83136585354805,80.90138299763203,83.35255013406277,0_examples_with_definition
