reasoning,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
,85.52035158184859,85.52183906619365,85.52183906619365
Abductive Reasoning,86.66970717906952,86.8194050192833,86.8194050192833
Analogical Reasoning,84.62444376945496,84.56534010834164,84.56534010834164
Causal Reasoning,84.78244036436081,84.79861102998257,84.79861102998257
Commonsense Reasoning,85.06833712259929,85.0657231926918,85.0657231926918
Cross-document Reasoning,84.15302884578705,84.17583692073822,84.17583692073822
Deductive Reasoning,83.72627824544907,83.79009902477264,83.79009902477264
Discrete Reasoning,84.15302884578705,84.17583692073822,84.17583692073822
Logical Reasoning,81.19459736347198,81.1772689819336,81.1772689819336
Multihop Reasoning,83.21987712194048,83.30366034356375,83.30366034356375
Numerical Reasoning,84.15302884578705,84.17583692073822,84.17583692073822
Quantitative Reasoning,84.80022076765697,84.85995864868164,84.85995864868164
Reasoning on Actions,86.02770805358887,85.95645797252655,85.95645797252655
Reasoning on Objects,87.16287660598755,87.2463276386261,87.2463276386261
Reasoning on Social Interactions,84.08857655525208,84.01073498385293,84.01073498385293
Relational Reasoning,84.68469054048711,84.60553812980652,84.60553812980652
Temporal Reasoning,86.78324194749196,86.7795882622401,86.7795882622401
Textual Entailment,85.20276586711407,85.26931943496068,85.26931943496068
