,reasoning,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,,79.46301562511005,66.87224045540522,67.42119986325888,67.18173989016725,66.43338035296843,70.45838416318485,69.65388784189442,69.40792235256833,79.46301562511005,0_examples_with_definition
1,Abductive Reasoning,86.2536010146141,76.73957824707031,57.419937312603,54.939078629016876,64.22200733423233,86.85639196634293,81.26419138908386,84.54247212409973,86.85639196634293,2_examples_without_definition
2,Analogical Reasoning,83.71214649412367,81.7482383913464,81.80266137917836,81.74341491858165,52.17861621909671,81.08230253060658,81.11629886097379,81.18552327156067,83.71214649412367,0_examples_with_definition
3,Causal Reasoning,81.19223053753376,74.52658042311668,76.05001501739025,75.75920003652573,70.52315448224545,78.59953451156616,76.9921997487545,77.43189811706543,81.19223053753376,0_examples_with_definition
4,Commonsense Reasoning,83.74992220401764,71.6352043946584,73.74838076035182,74.3238075375557,64.06130745013554,77.65330423911412,75.56325068473816,75.46161617835362,83.74992220401764,0_examples_with_definition
5,Cross-document Reasoning,88.45470052957535,46.0323480963707,16.8836532831192,16.036065459251404,58.93058753013611,85.23832553625107,86.0377984046936,84.76624572277069,88.45470052957535,0_examples_with_definition
6,Deductive Reasoning,78.62734067440033,31.489822566509247,33.06025916337967,34.71261686086655,75.46019566059113,42.27405071258545,46.777961790561676,46.29258131980896,78.62734067440033,0_examples_with_definition
7,Discrete Reasoning,88.45470052957535,46.0323480963707,16.8836532831192,16.036065459251404,58.93058753013611,85.23832553625107,86.0377984046936,84.76624572277069,88.45470052957535,0_examples_with_definition
8,Logical Reasoning,58.8658881187439,77.0315660238266,77.06242668628693,77.08770489692688,35.027143597602844,75.7016294002533,77.45933592319489,77.24518752098083,77.45933592319489,4_examples_without_definition
9,Multihop Reasoning,81.93506309910426,49.088784058888756,16.8836532831192,16.036065459251404,63.38166566122146,79.09831222113188,86.0377984046936,84.76624572277069,86.0377984046936,4_examples_without_definition
10,Numerical Reasoning,88.45470052957535,46.0323480963707,16.8836532831192,16.036065459251404,58.93058753013611,85.23832553625107,86.0377984046936,84.76624572277069,88.45470052957535,0_examples_with_definition
11,Quantitative Reasoning,83.60202340284984,64.54136729240417,66.24111199378967,65.58338085810344,74.32361650466919,75.14012706279755,70.15957673390706,70.1895642677943,83.60202340284984,0_examples_with_definition
12,Reasoning on Actions,82.07237362861633,31.550170580546062,28.710591793060303,31.952983736991882,65.82181747754414,49.95274122556051,49.079678773880005,45.50301762421926,82.07237362861633,0_examples_with_definition
13,Reasoning on Objects,85.99510490894318,84.2643893957138,84.18752455711365,83.78648865222931,73.85876977443695,76.55647146701813,76.09130680561066,79.82349240779877,85.99510490894318,0_examples_with_definition
14,Reasoning on Social Interactions,83.35680803230831,61.69994235038757,59.279117703437805,60.58507398196629,72.52686514173236,63.168134195464,63.312434503010344,61.75632986000606,83.35680803230831,0_examples_with_definition
15,Relational Reasoning,83.53020224787973,81.37368384274569,81.59057144685225,81.51941633224487,53.114773934537716,81.47448525645517,81.29170151190324,81.4915080612356,83.53020224787973,0_examples_with_definition
16,Temporal Reasoning,89.83018660545349,60.42137336730957,40.37880126635233,40.44303806622823,65.88963842391968,85.12476273377736,83.80756123860677,83.58045951525371,89.83018660545349,0_examples_with_definition
17,Textual Entailment,82.26815192898114,77.72807773451011,76.39800885816415,76.61269477506478,68.52692220608394,79.17666498323281,76.69043706854184,76.7442455093066,82.26815192898114,0_examples_with_definition
