domains,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Fiction,90.10857955047062,90.12236429963794,90.12236429963794
Books,86.17980829874675,86.27685077985127,86.27685077985127
Economics,81.66360211372375,81.72856891155243,81.72856891155243
Law,89.1463142974036,88.95627989087787,88.95627989087787
Government and Politics,86.48420341312885,86.53565755486488,86.53565755486488
History,90.68234786391258,90.76624512672424,90.76624512672424
Computer Science,66.06632709503174,65.55353724956512,65.55353724956512
Natural Science,74.73901358246803,73.97951555252075,73.97951555252075
Nutrition,94.78740966320038,94.78740966320038,94.78740966320038
Food,91.03279542922974,90.93144685029984,90.93144685029984
Social Media,78.21081697940826,77.3653781414032,77.3653781414032
News,74.31864949299934,75.43077346809368,75.43077346809368
