,categories,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,Answerability Classification,86.20804620706119,84.58403236182161,84.73731852317042,84.8746028519416,84.65380815359262,84.5490098369214,84.65810772984527,84.44650798805,86.20804620706119,0_examples_with_definition
1,Cause Effect Classification,85.13518529278892,85.45479416847229,85.51958279950279,85.56025954655239,83.24423371042523,85.07598270688739,85.26019096374512,85.22829265253884,85.56025954655239,8_examples_with_definition
2,Coreference Resolution,83.77150723763874,83.8766919885363,84.06010499170849,84.07533396141869,82.71364056212562,83.10949432849884,83.15072659083775,83.1583571093423,84.07533396141869,8_examples_with_definition
3,Data to Text,85.31451787747127,85.71152162839131,85.45190730690956,85.60840901732445,83.95636707124575,85.57885596023992,86.14108684659004,86.02952237427235,86.14108684659004,4_examples_without_definition
4,Dialogue Act Recognition,83.69164056437356,84.28236741679055,83.99173835345677,84.12508760179792,80.38119091306415,81.0833159344537,81.27596235275269,81.45384986060006,84.28236741679055,2_examples_with_definition
5,Grammar Error Correction,89.24811089038849,86.67638874053955,86.31367254257202,86.66113662719727,87.04733598232269,88.30417621135712,88.60101473331451,89.0061126947403,89.24811089038849,0_examples_with_definition
6,Keyword Tagging,84.27508001327514,84.19931502342224,84.41896057128906,84.410351729393,83.47860453128814,83.56655571460723,83.36772916316986,83.60504109859467,84.41896057128906,4_examples_with_definition
7,Overlap Extraction,85.28030204772949,85.40178054571152,85.16832631826401,85.01360964775085,83.01948022842407,84.6617134809494,85.08644050359726,84.28584027290344,85.40178054571152,2_examples_with_definition
8,Question Rewriting,87.35172346505252,87.4360853433609,87.79518278078599,87.76202237606049,86.49583623626016,86.26491419835524,86.1798276684501,85.88770081780173,87.79518278078599,4_examples_with_definition
9,Textual Entailment,84.7597465912501,83.55559150874615,83.69274620215099,83.76015257338683,81.61090054611365,82.9417261282603,83.05881864825885,83.059832478563,84.7597465912501,0_examples_with_definition
10,Title Generation,85.44467124674055,84.59130984871355,84.3784794087359,84.43813759353904,84.85201287535982,83.58472743715559,83.65016928218331,83.71506093089845,85.44467124674055,0_examples_with_definition
11,Word Analogy,84.32319600880146,84.91866807639599,85.08949503302574,85.16691863536835,84.91488522291183,84.67934656143188,84.88126772642136,84.93361796438694,85.16691863536835,8_examples_with_definition
