,reasoning,0_examples_with_definition,2_examples_with_definition,4_examples_with_definition,8_examples_with_definition,0_examples_without_definition,2_examples_without_definition,4_examples_without_definition,8_examples_without_definition,max_value,best_instruction
0,,85.52035158184859,85.02653487133915,85.03393672101129,85.10559382225348,84.44606166813874,84.32402528677468,84.42192498361507,84.39388295359416,85.52035158184859,0_examples_with_definition
1,Abductive Reasoning,86.66970717906952,87.37973272800446,87.53971099853516,87.52353703975677,85.93632543087006,85.03012585639954,85.08836060762405,85.29219079017639,87.53971099853516,4_examples_with_definition
2,Analogical Reasoning,84.62444376945496,84.99715707037184,85.11994402938419,85.19741917981042,84.79288487964206,84.93844411108229,85.31137911478679,85.31541244188945,85.31541244188945,8_examples_without_definition
3,Causal Reasoning,84.78244036436081,83.68091481924057,83.66091102361679,83.65464024245739,80.95654079318047,82.06600472331047,82.32107047736645,82.36508092284203,84.78244036436081,0_examples_with_definition
4,Commonsense Reasoning,85.06833712259929,84.73583267529806,84.73289223512013,84.75978715022406,83.49643638531367,84.03246157169342,84.2044667005539,84.06850395997365,85.06833712259929,0_examples_with_definition
5,Cross-document Reasoning,84.15302884578705,82.19564348459244,82.50972962379456,82.57158136367798,81.93301713466644,81.74367195367813,82.02417808771133,81.7898086309433,84.15302884578705,0_examples_with_definition
6,Deductive Reasoning,83.72627824544907,82.71842700242996,83.01412814855576,82.82262873649597,82.27199643850327,81.77437573671341,81.71757632493973,81.79379880428314,83.72627824544907,0_examples_with_definition
7,Discrete Reasoning,84.15302884578705,82.19564348459244,82.50972962379456,82.57158136367798,81.93301713466644,81.74367195367813,82.02417808771133,81.7898086309433,84.15302884578705,0_examples_with_definition
8,Logical Reasoning,81.19459736347198,80.50083541870117,80.30368685722351,80.72082054615021,77.91723823547363,79.69271564483643,80.27070426940918,80.3703715801239,81.19459736347198,0_examples_with_definition
9,Multihop Reasoning,83.21987712194048,82.15537967889205,82.50972962379456,82.57158136367798,81.32894488554152,81.6354753273838,82.02417808771133,81.7898086309433,83.21987712194048,0_examples_with_definition
10,Numerical Reasoning,84.15302884578705,82.19564348459244,82.50972962379456,82.57158136367798,81.93301713466644,81.74367195367813,82.02417808771133,81.7898086309433,84.15302884578705,0_examples_with_definition
11,Quantitative Reasoning,84.80022076765697,81.72171052296956,81.54744140307109,81.41132009029388,78.63621592521667,78.85441648960114,79.26734121640523,79.08354981740315,84.80022076765697,0_examples_with_definition
12,Reasoning on Actions,86.02770805358887,85.55049161116283,85.5419925848643,85.50856173038483,82.67743110656738,83.44312655925751,83.50496037801106,83.38955827554067,86.02770805358887,0_examples_with_definition
13,Reasoning on Objects,87.16287660598755,85.72521722316742,85.58345854282379,85.81270909309387,85.96470808982849,86.90175473690033,86.46771037578583,87.02792036533356,87.16287660598755,0_examples_with_definition
14,Reasoning on Social Interactions,84.08857655525208,84.52271594320025,84.22771402767727,84.35261012826648,81.3418778862272,81.36318031379155,81.67830399104527,81.64367365837097,84.52271594320025,2_examples_with_definition
15,Relational Reasoning,84.68469054048711,84.96649108149789,84.8295842517506,84.97072023695165,84.46087979186665,84.7523460930044,85.08277266675776,85.05494746294889,85.08277266675776,4_examples_without_definition
16,Temporal Reasoning,86.78324194749196,85.37919584910075,85.6070073445638,85.66040245691936,85.26968868573506,85.1749807993571,85.39315211772919,85.18145231405894,86.78324194749196,0_examples_with_definition
17,Textual Entailment,85.20276586711407,84.02749620378017,84.20854535202186,84.27617705365022,82.30070803066094,83.6808480868737,83.72151333590348,83.75944183766842,85.20276586711407,0_examples_with_definition
