categories,Greedy sampling,Top-k sampling(k=10),Top-p sampling(p=0.9)
Data to Text,85.31451787747127,85.26142634136576,85.26142634136576
Title Generation,85.44467124674055,85.45047974586487,85.45047974586487
Question Rewriting,87.35172346505252,87.34286733107133,87.34286733107133
Word Analogy,84.32319600880146,84.26344072818756,84.26344072818756
Grammar Error Correction,89.24811089038849,89.07922887802124,89.07922887802124
Coreference Resolution,83.77150723763874,83.76656866925103,83.76656866925103
Dialogue Act Recognition,83.69164056437356,83.65920341014862,83.65920341014862
Textual Entailment,84.7597465912501,84.82276932398479,84.82276932398479
Overlap Extraction,85.28030204772949,85.29150199890137,85.29150199890137
Keyword Tagging,84.27508001327514,84.26974799633027,84.26974799633027
Answerability Classification,86.20804620706119,86.24092183663295,86.24092183663295
Cause Effect Classification,85.13518529278892,85.19244584015438,85.19244584015438
